,age,fnlwgt,educational-num,capital-gain,capital-loss,hours-per-week
213,39,22463,13,0,0,40
214,23,180497,13,0,0,32
215,49,37306,9,0,0,40
216,33,137814,9,0,0,32
217,21,447488,3,0,0,38
218,31,220915,11,0,0,40
219,23,42251,13,0,0,45
220,34,162312,13,0,0,40
221,25,77698,9,0,0,40
222,39,282951,9,0,0,40
223,52,311259,9,0,0,40
224,63,65479,5,7688,0,40
225,41,277256,10,0,0,40
226,46,312088,13,15024,0,38
227,53,169719,9,0,0,40
228,25,270276,5,1055,0,40
229,77,172744,10,0,0,35
230,18,96869,8,0,0,40
231,38,237943,15,0,0,50
232,55,119751,14,0,0,50
233,34,236861,9,0,0,40
234,80,201092,9,0,0,30
235,34,147215,11,0,0,60
236,52,152373,10,5013,0,40
237,42,227968,9,0,0,28
238,26,362617,10,0,0,40
239,31,103435,9,0,0,40
240,25,281412,9,0,0,35
241,55,105239,9,0,2057,60
242,19,230165,10,0,0,12
243,62,177493,10,0,0,32
244,22,104443,10,0,0,20
245,39,110342,9,0,0,50
246,35,143385,9,0,0,40
247,28,107189,9,0,0,40
248,47,212944,9,0,0,70
249,44,138634,9,0,0,40
250,21,99970,10,0,0,15
251,35,203717,11,0,0,50
252,24,313956,13,0,0,40
253,42,177937,13,0,0,40
254,28,193868,13,0,0,50
255,21,250939,10,0,0,35
256,62,57629,10,4650,0,40
257,39,281768,9,0,0,40
258,30,260782,9,0,0,40
259,72,243769,15,0,1429,20
260,50,109937,10,0,0,50
261,28,134890,14,0,0,40
262,29,100293,10,0,0,40
263,26,132179,13,0,0,40
264,27,116372,14,0,0,40
265,29,255412,10,3103,0,40
266,61,195789,9,0,0,40
267,29,342400,6,0,0,25
268,21,65481,10,0,0,30
269,31,169085,7,0,0,20
270,25,177221,9,0,0,75
271,58,65325,6,0,0,40
272,64,118944,10,0,0,40
273,46,149337,14,0,0,38
274,53,237868,9,0,0,35
275,19,106183,9,0,0,35
276,42,226388,9,0,0,52
277,18,220754,7,0,0,24
278,58,204021,13,15024,0,50
279,20,347391,10,0,0,60
280,35,413930,9,0,0,40
281,32,174201,9,0,0,38
282,23,145917,9,0,0,25
283,31,241797,10,0,0,40
284,33,265168,13,0,0,55
285,41,171234,10,0,0,48
286,22,178452,9,0,0,40
287,46,157857,10,0,0,40
288,61,512864,10,0,0,40
289,30,296462,9,0,0,40
290,42,171615,9,0,0,55
291,63,214071,6,0,0,40
292,26,172421,10,0,0,40
293,42,195488,6,0,0,40
294,23,316841,10,0,0,40
295,25,236267,9,0,1590,40
296,30,236543,5,0,0,32
297,23,318483,9,0,0,40
298,34,163756,11,27828,0,60
299,30,238186,9,0,2057,48
300,39,329980,10,0,0,40
301,30,169269,7,0,1721,38
302,38,34744,10,0,0,38
303,26,98114,9,0,0,40
304,20,109667,10,0,0,16
305,37,263690,13,0,0,40
306,33,147430,9,0,0,40
307,24,224238,13,0,0,40
308,42,212894,13,0,0,60
309,51,136708,9,3103,0,84
310,56,38573,12,0,0,45
311,22,197200,10,0,0,40
312,52,182796,10,0,0,60
313,44,184527,13,4934,0,45
314,34,145231,9,4064,0,35
315,51,43354,10,0,0,42
316,20,318865,10,0,0,40
317,19,355712,10,0,0,25
318,37,98776,13,0,0,40
319,68,257557,9,0,0,40
320,22,102258,10,0,0,40
321,56,170287,13,0,0,40
322,37,243409,9,0,0,40
323,52,55608,2,0,0,40
324,26,248057,9,0,0,40
325,33,95530,14,0,0,50
326,45,54038,14,0,0,42
327,18,161245,7,0,0,15
328,43,388725,10,0,0,60
329,64,71807,16,15024,0,50
330,18,228216,9,0,0,20
331,20,303121,10,0,0,45
332,57,78020,9,0,0,40
333,41,249254,9,3674,0,42
334,34,87218,14,0,1887,50
335,19,304299,9,0,0,40
336,44,196234,5,0,0,55
337,56,197875,6,0,0,40
338,36,48063,9,0,0,80
339,48,253596,13,0,0,48
340,29,39257,9,0,0,40
341,33,56150,13,2174,0,40
342,31,179415,3,0,0,40
343,39,252445,14,0,0,45
344,66,275918,9,10605,0,40
345,27,106562,13,0,0,50
346,39,198654,9,99999,0,40
347,59,107318,4,5178,0,50
348,26,181896,9,0,0,40
349,31,106014,11,0,0,40
350,45,319993,9,0,0,40
351,23,197997,9,0,0,30
352,36,173542,9,0,0,40
353,34,207564,10,0,0,12
354,32,224462,9,0,0,84
355,37,123361,13,0,0,50
356,33,90409,13,0,0,45
357,50,165001,15,99999,0,80
358,32,149573,12,0,0,40
359,35,249456,13,0,0,40
360,37,149898,7,0,0,40
361,44,292985,10,0,0,60
362,57,50223,10,0,0,25
363,29,400074,10,0,0,40
364,55,197399,9,0,0,50
365,43,209547,15,0,0,25
366,43,52433,10,0,0,70
367,45,355978,10,0,0,60
368,33,48214,14,0,0,8
369,26,190873,6,0,0,40
370,23,278390,10,0,0,68
371,41,203217,4,0,0,40
372,24,279175,9,0,0,40
373,47,194590,13,0,0,44
374,34,198813,9,0,0,45
375,40,187294,9,0,0,40
376,28,302903,13,0,1485,40
377,24,154835,9,0,0,40
378,73,73402,10,0,0,10
379,23,100345,9,0,0,15
380,43,126320,9,0,0,40
381,26,142226,13,0,0,40
382,58,112076,16,0,1485,35
383,52,225339,9,0,0,35
384,29,211208,7,0,0,99
385,47,200808,7,0,0,35
386,49,220618,9,0,0,37
387,40,210493,7,0,0,40
388,62,369734,9,0,0,40
389,49,27898,9,0,1977,55
390,50,138193,13,0,0,50
391,31,224234,9,0,0,40
392,48,188741,14,0,0,50
393,24,183772,9,0,0,40
394,41,155041,9,3418,0,40
395,37,79586,9,0,0,60
396,45,355781,13,0,0,45
397,63,156158,9,0,0,16
398,36,116358,14,0,0,45
399,45,59287,13,0,0,40
400,41,138868,13,0,0,40
401,26,185885,12,0,0,20
402,17,40299,7,0,0,25
403,27,500068,9,0,0,36
404,43,51494,9,0,0,65
405,35,179481,9,0,0,55
406,38,365907,13,0,0,40
407,26,284343,9,0,0,40
408,28,204862,10,0,0,40
409,38,272476,13,0,0,24
410,36,175130,7,0,0,40
411,33,118941,9,0,0,40
412,19,164339,9,1055,0,70
413,22,213291,12,0,0,25
414,42,55457,6,0,0,40
415,50,280292,6,0,0,40
416,30,446894,9,0,0,30
417,37,67083,10,0,0,40
418,54,159219,15,99999,0,40
419,52,168539,13,0,0,40
420,65,88145,2,0,0,40
421,33,150309,9,0,0,40
422,25,122999,10,0,0,40
423,24,302195,13,0,0,45
424,26,210982,11,114,0,40
425,39,177140,9,0,0,40
426,59,113838,9,0,0,40
427,29,97165,10,0,0,40
428,47,104301,7,0,0,45
429,23,192028,10,0,0,35
430,64,115931,9,0,0,50
431,21,147280,9,0,0,20
432,32,185433,10,0,0,40
433,26,599057,9,0,0,37
434,19,50626,10,0,0,20
435,62,71467,14,0,0,40
436,32,183977,13,0,0,55
437,75,26586,6,0,0,5
438,45,196858,9,0,0,60
439,31,160594,13,0,1887,50
440,32,65278,9,2580,0,40
441,24,102258,13,0,0,40
442,25,196947,13,0,0,40
443,41,233150,9,0,0,60
444,18,42857,10,0,0,20
445,44,118059,16,0,0,55
446,40,169262,10,3411,0,50
447,27,95108,13,0,0,40
448,23,161092,13,0,0,40
449,21,345253,10,2174,0,40
450,37,111275,9,0,0,40
451,65,178878,9,0,0,48
452,43,157237,14,0,0,40
453,45,155664,9,0,0,44
454,24,322658,13,0,0,40
455,24,208503,10,0,0,42
456,19,223326,10,0,1721,35
457,37,20308,13,0,0,65
458,24,124751,9,0,0,35
459,34,113364,10,0,0,40
460,50,196900,9,0,0,39
461,36,168170,9,0,0,40
462,39,205338,13,0,0,60
463,44,98806,4,0,0,38
464,45,226452,9,0,0,40
465,32,479179,7,0,0,40
466,47,471990,14,0,0,40
467,50,44728,9,0,0,40
468,32,33117,11,0,0,40
469,19,264876,9,0,0,40
470,19,47235,10,0,0,20
471,28,293628,14,0,0,10
472,28,193122,9,0,0,50
473,39,149347,14,0,0,40
474,21,129172,10,2907,0,40
475,73,151255,10,0,0,75
476,39,98886,4,4508,0,40
477,25,238673,10,0,0,40
478,31,137991,10,0,0,20
479,51,85942,10,0,0,32
480,39,85783,13,0,0,28
481,31,174789,13,0,0,40
482,21,457162,10,0,0,17
483,46,176026,13,27828,0,50
484,73,88594,9,0,0,35
485,41,311101,9,0,0,40
486,20,273989,9,0,0,40
487,27,370242,12,0,0,30
488,24,194630,13,0,0,35
489,20,313817,10,0,0,40
490,39,195843,11,0,0,40
491,27,203160,13,0,0,28
492,33,175856,7,0,0,60
493,33,75435,9,0,0,40
494,36,291676,5,0,0,40
495,55,192869,10,0,0,36
496,19,124464,10,0,0,40
497,35,98776,9,0,0,60
498,34,107960,3,0,0,40
499,62,312286,15,0,0,35
500,33,48520,10,0,0,40
501,39,224541,5,4386,0,55
502,36,237713,10,0,0,40
503,41,309990,13,0,0,33
504,39,37019,9,0,0,60
505,38,48976,9,0,1887,10
506,18,170183,9,0,0,10
507,61,142988,10,15024,0,45
508,20,163205,11,0,0,36
509,35,455379,9,0,0,65
510,27,104423,9,0,0,40
511,66,104936,6,0,0,38
512,21,542610,9,0,0,40
513,20,208117,10,0,0,18
514,34,105141,10,0,0,40
515,63,156120,3,0,0,50
516,20,38455,9,0,0,40
517,31,213339,9,0,0,40
518,41,177989,16,0,2051,60
519,64,107732,2,0,0,45
520,32,312403,13,0,0,40
521,30,176992,9,0,0,50
522,36,84294,13,0,0,72
523,22,143062,10,0,0,12
524,53,139671,10,0,0,50
525,50,116814,9,0,0,40
526,36,37778,13,0,0,40
527,41,240900,7,0,0,40
528,55,202652,13,0,0,35
529,38,52187,13,15024,0,50
530,28,349751,13,2174,0,50
531,24,238384,13,0,0,37
532,60,209844,10,0,0,40
533,54,333301,6,0,0,40
534,27,214974,9,0,0,60
535,30,113453,14,0,0,30
536,54,162238,9,0,0,45
537,44,98779,10,5178,0,40
538,52,165001,9,0,0,60
539,18,78528,7,0,0,20
540,55,353881,4,0,0,50
541,35,251396,13,0,0,50
542,37,178100,13,0,0,40
543,22,416165,10,0,0,40
544,45,177536,13,0,0,45
545,38,203717,13,0,0,60
546,48,107231,13,0,0,40
547,35,106448,11,0,0,40
548,21,196816,11,0,0,50
549,37,191342,9,0,0,60
550,18,170194,7,0,0,25
551,26,113587,6,0,0,35
552,48,72425,13,0,0,50
553,51,217480,10,8614,0,40
554,52,120914,10,0,0,40
555,32,33945,13,0,0,40
556,39,199753,13,0,0,60
557,51,144284,13,0,0,40
558,54,53833,13,0,0,50
559,21,151158,10,0,0,25
560,43,125577,9,0,0,40
561,32,242323,10,0,0,40
562,31,195181,14,0,0,35
563,73,145748,9,0,0,8
564,26,341672,10,0,0,60
565,35,116369,9,0,0,40
566,73,113446,3,0,0,54
567,25,121285,13,0,0,40
568,58,25124,11,0,2377,65
569,32,182274,9,0,0,37
570,28,103548,13,0,0,40
571,41,38434,14,0,0,30
572,53,317313,9,0,0,48
573,49,177543,9,0,0,35
574,55,139834,13,0,0,40
575,29,118478,10,7298,0,50
576,28,147951,11,0,0,80
577,44,201734,9,0,0,45
578,41,198196,14,0,0,45
579,26,141876,11,3103,0,45
580,23,325179,9,0,0,40
581,37,143774,13,0,0,40
582,23,152328,13,13550,0,50
583,33,479600,10,0,0,40
584,44,180599,9,0,0,40
585,21,448026,10,2907,0,30
586,36,300333,7,0,0,40
587,44,184105,13,5013,0,40
588,23,202084,9,0,0,40
589,26,29515,9,0,0,40
590,32,247328,3,0,0,40
591,31,188246,10,0,0,40
592,50,105788,9,6497,0,35
593,18,352640,10,0,0,20
594,49,132576,13,0,0,50
595,59,128829,9,0,0,40
596,38,93140,9,0,0,28
597,50,155965,10,0,0,55
598,51,335902,10,0,1672,55
599,22,158522,10,0,0,35
600,54,174806,9,0,0,40
601,37,32207,9,0,0,40
602,31,43607,13,0,0,60
603,67,168224,13,0,0,40
604,43,180318,7,0,0,40
605,21,311376,10,0,0,40
606,30,101562,9,0,0,40
607,32,267859,10,0,0,50
608,36,86143,11,0,0,40
609,33,217304,13,0,0,40
610,37,410034,9,0,0,56
611,29,293073,15,7298,0,48
612,18,39493,10,0,0,30
613,26,247425,10,0,0,40
614,51,128338,4,0,0,40
615,39,189344,9,0,0,40
616,18,366154,9,0,0,30
617,52,163051,8,0,1628,40
618,31,437200,10,0,0,40
619,45,323798,13,7298,0,53
620,38,182570,10,0,0,38
621,21,200318,12,0,0,35
622,33,48520,9,0,0,40
623,39,130007,10,0,0,40
624,31,166248,9,0,0,40
625,43,203554,13,0,1902,50
626,64,192715,13,0,1672,10
627,33,291333,13,7298,0,45
628,49,39140,9,0,0,60
629,41,266439,9,0,0,40
630,55,126840,10,0,0,40
631,52,166419,10,0,0,37
632,42,287129,13,0,0,40
633,24,206827,10,0,0,30
634,42,173888,9,0,0,52
635,41,253250,13,7298,0,40
636,35,337239,9,0,0,40
637,71,113445,3,0,0,10
638,54,201127,14,0,0,42
639,24,403107,3,0,0,40
640,59,179078,9,0,0,40
641,30,126402,7,0,0,40
642,57,223892,13,0,0,40
643,58,191318,14,15024,0,40
644,32,394708,9,0,0,40
645,22,119474,9,1055,0,25
646,20,419984,9,0,0,25
647,60,164730,13,0,0,40
648,51,190678,9,0,0,40
649,26,197897,9,0,0,20
650,33,286675,7,0,0,40
651,19,191986,6,0,0,40
652,50,90525,9,15024,0,20
653,32,56150,9,0,0,40
654,51,248327,13,0,0,40
655,18,90860,10,0,0,20
656,35,104858,14,0,0,50
657,22,228686,10,0,1602,25
658,46,196707,9,0,0,55
659,37,29430,9,0,0,45
660,45,54038,10,0,1902,20
661,63,281025,5,0,0,32
662,53,258832,9,0,0,10
663,24,131220,9,0,0,40
664,65,190454,7,0,0,29
665,43,315971,12,0,0,32
666,47,265097,9,0,0,40
667,41,185057,9,0,0,40
668,27,169557,9,6849,0,40
669,35,333636,9,0,0,75
670,19,181652,10,0,0,24
671,47,34307,10,0,0,35
672,25,198813,13,0,1590,40
673,59,240030,15,0,0,40
674,28,226089,6,0,0,40
675,17,190941,6,0,0,20
676,21,160261,10,2463,0,50
677,31,208458,9,0,0,40
678,49,112761,9,0,0,40
679,48,67716,14,7688,0,50
680,60,121076,16,0,0,20
681,33,182556,8,0,0,40
682,40,231348,9,0,0,40
683,42,55395,10,0,0,52
684,34,344073,9,5013,0,40
685,38,318912,11,0,0,52
686,58,237546,10,0,0,70
687,20,346341,10,0,0,40
688,52,305090,10,0,0,55
689,22,198478,10,0,0,40
690,24,321435,13,0,0,35
691,39,259716,9,0,0,40
692,41,191547,14,99999,0,55
693,37,171482,10,0,0,30
694,56,225927,5,2580,0,40
695,21,256504,9,0,0,40
696,29,168526,9,0,0,25
697,45,44489,11,0,0,10
698,44,159449,10,0,0,80
699,54,387540,14,0,0,45
700,24,314819,10,2174,0,40
701,40,34722,13,0,0,50
702,43,125831,13,99999,0,60
703,20,239805,10,0,0,16
704,41,264663,7,0,0,40
705,32,294121,11,0,0,40
706,31,83912,13,0,0,25
707,26,241626,9,0,0,40
708,50,137815,13,0,0,40
709,62,153891,11,3137,0,40
710,24,83774,9,2885,0,45
711,58,199067,13,0,0,65
712,44,57233,10,0,0,40
713,44,211517,8,0,0,40
714,37,132879,10,0,0,50
715,65,72776,4,2964,0,40
716,33,54318,9,0,0,40
717,34,143582,9,0,0,37
718,56,174564,14,0,0,60
719,35,179579,14,0,1977,48
720,33,187618,13,0,1741,40
721,35,186819,13,0,0,48
722,47,60087,10,0,0,60
723,35,28987,5,0,0,96
724,56,187355,10,0,0,40
725,29,218555,14,0,0,40
726,53,94214,15,7298,0,50
727,42,204729,11,0,0,25
728,20,281668,10,0,0,40
729,24,236696,13,0,0,50
730,33,179747,9,0,0,40
731,42,187322,6,0,0,45
732,38,116975,10,0,1887,50
733,32,205950,9,0,0,40
734,20,190968,4,0,0,20
735,32,160458,9,0,0,50
736,28,190911,10,0,0,40
737,51,85382,9,0,0,55
738,41,129793,9,0,0,30
739,37,270181,12,0,0,50
740,23,243723,9,0,0,40
741,40,168113,9,0,0,40
742,47,652784,6,0,0,40
743,46,315984,9,0,0,50
744,24,311311,13,0,0,40
745,40,111336,9,0,0,28
746,30,100252,9,0,0,60
747,41,186990,15,0,0,52
748,37,241633,13,0,0,45
749,49,252616,9,0,0,40
750,41,46366,13,0,0,50
751,52,266138,11,0,0,35
752,23,32732,10,0,0,50
753,34,361978,9,1471,0,40
754,25,77661,13,0,2444,40
755,44,60087,9,0,0,45
756,31,197550,9,0,0,33
757,53,170701,13,0,0,40
758,62,159822,9,0,0,50
759,35,211494,13,0,1876,55
760,30,340899,13,0,0,40
761,48,224752,9,0,0,40
762,36,102568,13,0,0,40
763,32,220690,7,0,0,33
764,22,303170,10,0,0,28
765,17,143331,7,0,0,40
766,19,192162,9,0,0,40
767,26,201635,9,0,0,40
768,20,55263,10,0,0,40
769,56,133728,10,0,0,35
770,45,347025,4,0,0,21
771,23,110998,10,0,0,40
772,31,122347,9,0,0,40
773,30,127875,7,0,0,8
774,42,167534,9,5013,0,35
775,27,152560,15,0,0,60
776,37,265144,13,0,0,50
777,31,302679,9,0,0,60
778,33,290763,13,0,0,40
779,64,86837,1,0,0,40
780,32,147118,9,0,0,40
781,62,103575,9,5178,0,40
782,37,169469,10,0,0,40
783,25,189334,7,0,0,40
784,49,139571,9,4064,0,40
785,36,111545,13,0,1902,40
786,67,72776,10,10566,0,15
787,54,307973,9,0,0,40
788,45,211666,16,0,0,40
789,30,143766,10,0,0,40
790,39,112812,9,0,0,40
791,57,43290,6,0,0,20
792,57,111385,6,0,0,40
793,23,145744,9,0,0,40
794,49,126754,9,0,0,40
795,46,54260,13,0,0,10
796,41,34895,13,0,0,43
797,44,166740,11,0,0,45
798,25,143062,13,2463,0,30
799,34,191957,13,0,0,45
800,24,109456,13,0,0,25
801,32,198183,13,0,0,45
802,27,157449,9,0,0,50
803,67,53874,8,0,0,40
804,36,191754,9,0,0,40
805,40,320071,10,0,1408,48
806,24,164574,9,0,0,40
807,46,185870,13,0,1902,40
808,44,165745,9,0,0,38
809,23,40323,10,0,0,40
810,46,199378,15,0,0,90
811,31,289889,11,0,0,40
812,21,152200,10,0,0,40
813,61,198231,9,0,0,40
814,71,28865,9,0,0,15
815,42,26915,13,0,0,40
816,27,108926,10,0,0,5
817,21,204034,10,0,0,16
818,21,243368,1,0,0,25
819,28,191088,13,2354,0,60
820,27,194515,12,0,0,37
821,32,28984,10,0,2001,25
822,47,125892,9,0,0,40
823,22,37932,12,0,0,35
824,56,249751,9,0,0,40
825,20,191948,9,0,0,40
826,30,97306,10,0,0,40
827,22,176178,10,0,0,25
828,28,142764,11,7688,0,45
829,50,148431,14,0,0,55
830,66,148380,9,1424,0,10
831,38,314890,10,0,0,46
832,62,177493,8,0,0,30
833,36,327435,14,0,0,40
834,47,275967,6,0,0,35
835,25,176520,9,0,0,40
836,26,186463,10,0,0,40
837,37,50380,7,0,0,40
838,70,323987,4,0,0,8
839,52,192445,7,0,0,40
840,70,142851,5,0,0,18
841,19,42750,9,0,0,40
842,23,199011,7,0,0,3
843,37,98644,13,0,0,16
844,37,173963,7,0,0,40
845,45,284763,10,0,0,40
846,29,108775,13,0,0,50
847,56,233312,13,0,0,20
848,50,197826,14,0,0,40
849,20,123007,9,0,2001,30
850,26,264012,13,0,0,40
851,41,214247,15,0,2415,60
852,21,200121,9,0,0,40
853,48,138069,3,0,2042,50
854,22,33551,10,0,0,40
855,37,89083,12,0,0,35
856,47,369438,10,0,0,30
857,61,93997,13,0,0,40
858,47,169699,14,0,0,40
859,37,115429,9,0,0,25
860,46,96652,11,0,0,40
861,42,103759,9,0,0,48
862,41,54422,9,0,0,40
863,33,107215,5,0,0,40
864,24,194630,13,0,0,35
865,27,102142,12,0,0,40
866,40,134638,13,0,0,39
867,56,46920,6,0,0,40
868,35,207973,16,0,0,55
869,24,208946,11,0,0,40
870,73,252431,10,0,0,1
871,36,251730,10,0,0,50
872,31,301251,13,0,0,50
873,50,137632,9,0,0,45
874,36,197274,9,0,0,40
875,37,106043,9,0,0,40
876,26,195636,13,0,0,55
877,20,237956,9,0,0,40
878,58,31532,13,0,0,40
879,45,276157,13,0,0,40
880,33,207668,13,0,0,40
881,31,142921,13,0,0,40
882,44,217039,15,99999,0,60
883,19,259169,10,0,0,30
884,54,409173,9,0,0,50
885,31,73161,14,0,1740,40
886,27,241431,9,0,0,35
887,36,151764,10,5178,0,40
888,47,131726,10,0,1876,40
889,35,334291,13,0,0,45
890,42,67243,2,0,0,55
891,45,370261,13,0,0,40
892,70,573446,9,1455,0,40
893,27,189775,8,0,0,44
894,36,312206,9,0,0,60
895,23,86939,9,0,0,40
896,25,221757,13,0,0,50
897,45,213140,10,7688,0,45
898,24,308673,9,0,0,30
899,90,149069,12,0,1825,50
900,50,69345,9,0,1902,44
901,37,112158,9,7688,0,99
902,31,386299,10,0,0,40
903,17,61838,7,0,0,40
904,26,290286,10,0,0,38
905,41,143069,16,0,0,60
906,50,145714,9,0,0,60
907,45,285570,9,0,0,80
908,54,399705,10,0,0,55
909,54,186224,9,0,0,40
910,38,172918,9,0,0,40
911,22,198270,9,0,0,38
912,43,307767,9,0,0,40
913,19,208630,9,0,0,30
914,30,169002,13,0,0,40
915,31,186369,5,0,0,40
916,42,99203,9,3325,0,40
917,48,197836,10,0,0,40
918,56,140136,10,0,0,35
